"","OBJECTID","Join_Count","TARGET_FID","YEAR","TRI_FACILI","FRS_ID","FACILITY_N","STREET_ADD","CITY","COUNTY","ST","ZIP","BIA_CODE","TRIBE","LATITUDE","LONGITUDE","FEDERAL_FA","INDUSTRY_S","INDUSTRY_1","PRIMARY_SI","SIC_2","SIC_3","SIC_4","SIC_5","SIC_6","PRIMARY_NA","NAICS_2","NAICS_3","NAICS_4","NAICS_5","NAICS_6","DOC_CTRL_N","CHEMICAL","CAS___COMP","SRS_ID","CLEAR_AIR_","CLASSIFICA","METAL","METAL_CATE","CARCINOGEN","FORM_TYPE","UNIT_OF_ME","F5_1_FUGITI","F5_2_STACK_","F5_3_WATER","F5_4_UNDERG","F5_4_1_UNDE","F5_4_2_UNDE","F5_5_1_LAND","F5_5_1A_RCR","F5_5_1B_OTH","F5_5_2_LAND","F5_5_3_SURF","F5_5_3A_RCR","F5_5_3B_Oth","F5_5_4_OTHE","ON_SITE_RE","F6_1_POTW_T","F6_1_POTW_1","F6_1_POTW_2","F6_2_M10","F6_2_M41","F6_2_M62","F6_2_M71","F6_2_M81","F6_2_M82","F6_2_M72","F6_2_M63","F6_2_M66","F6_2_M67","F6_2_M64","F6_2_M65","F6_2_M73","F6_2_M79","F6_2_M90","F6_2_M94","F6_2_M99","OFF_SITE_R","F6_2_M20","F6_2_M24","F6_2_M26","F6_2_M28","F6_2_M93","OFF_SITE_1","F6_2_M56","F6_2_M92","OFF_SITE_2","F6_2_M40","F6_2_M50","F6_2_M54","F6_2_M61","F6_2_M69","F6_2_M95","OFF_SITE_T","TOTAL_RELE","F8_1_RELEAS","F8_1A_ON_SI","F8_1B_ON_SI","F8_1C_OFF_S","F8_1D_OFF_S","F8_2_ENERGY","F8_3_ENERGY","F8_4_RECYCL","F8_5_RECYCL","F8_6_TREATM","F8_7_TREATM","PROD__WAST","F8_8_ONE_TI","PROD_RATIO","F8_9_PRODUC","PARENT_COM","PARENT_C_1","Field110","STATEFP00","COUNTYFP00","TRACTCE00","BLKGRPCE00","BKGPIDFP00","NAMELSAD00","MTFCC00","FUNCSTAT00","ALAND00","AWATER00","INTPTLAT00","INTPTLON00","OID_","Field1","GEOID","GEO_label","total_x","under_50","from_50_to","from_75_to","from_100_t","from_125_t","from_150_t","from_175_t","from_185_t","from_200_u","below_200","fraction_b","over_30_un","total_y","not_Hispan","non_HL_whi","non_HL_Bla","non_HL_AIA","non_HL_Asi","non_HL_NHO","non_HL_oth","non_HL_2_p","HL","HL_white","HL_Black","HL_AIAN","HL_Asian","HL_NHOPI","HL_other","HL_2_plus","percent_wh","percent_Bl","percent_HL","percent_AI","percent_As","percent_NH","percent_ot","GEOID2_Tex","STATEFP10","COUNTYFP10","COUSUBFP10","COUSUBNS10","GEOID10","NAME10","NAMELSAD10","LSAD10","CLASSFP10","MTFCC10","CNECTAFP10","NECTAFP10","NCTADVFP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","GEOID_AFF2","GEOID_AFF1","covered_facility","TRUE_TOTAL_RELEASE_POUNDS"
"472",472,1,472,2008,"06770DNHMC15EAS",110000317327,"UNIMETAL SURFACE FINISHING LLC","15 E WATERBURY RD","NAUGATUCK","NEW HAVEN","CT",6770,NA,NA,41.50552,-73.02424,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,0,NA,0,0,0,1308206519500,"ZINC COMPOUNDS","N982",649699,"NO","TRI","YES",1,"NO","R","Pounds",0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,83,0,83,0,41505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41588.001,0,0,0.001,0,41588,0,0,0,0,0,0,41588.001,0,NA,0.9,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41588.001
"473",473,0,473,2008,"06412CRYDY67WIN",110000316104,"PURIFICATION TECHNOLOGIES LLC","67 WINTHROP RD","CHESTER","MIDDLESEX","CT",6412,NA,NA,41.38555,-72.50882,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325199,0,NA,0,0,0,1308206619620,"METHANOL","000067561",4283,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"VWR INTERNATIONAL LLC","150982189",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"474",474,0,474,2008,"06412CRYDY67WIN",110000316104,"PURIFICATION TECHNOLOGIES LLC","67 WINTHROP RD","CHESTER","MIDDLESEX","CT",6412,NA,NA,41.38555,-72.50882,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325199,0,NA,0,0,0,1308206619630,"TOLUENE","000108883",25452,"YES","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"VWR INTERNATIONAL LLC","150982189",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"475",475,0,475,2008,"06801VTTCR7TRWB",110017718923,"VITTA CORP","7 TROWBRIDGE DR","BETHEL","FAIRFIELD","CT",6801,NA,NA,41.35219,-73.42086,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332117,327992,NA,0,0,0,1308206955970,"LEAD","007439921",149583,"YES","PBT","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,0,NA,1,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"476",476,0,476,2008,"06801VTTCR7TRWB",110017718923,"VITTA CORP","7 TROWBRIDGE DR","BETHEL","FAIRFIELD","CT",6801,NA,NA,41.35219,-73.42086,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332117,327992,NA,0,0,0,1308206955950,"NICKEL","007440020",149674,"YES","TRI","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,210,0,3090,0,0,0,3090,0,0,0,0,0,0,0,0,0,0,210,0,0,0,210,0,0,0,25392.9,3090,0,0,28692.9,0,NA,1,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,210
"477",477,1,477,2008,"06770DNHMC15EAS",110000317327,"UNIMETAL SURFACE FINISHING LLC","15 E WATERBURY RD","NAUGATUCK","NEW HAVEN","CT",6770,NA,NA,41.50552,-73.02424,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,0,NA,0,0,0,1308206519490,"NITRIC ACID","007697372",152686,"NO","TRI","NO",0,"NO","A","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"478",478,1,478,2008,"06473NTDST195MC",110000316417,"COVIDIEN LP","195 MCDERMOTT RD","NORTH HAVEN","NEW HAVEN","CT",6473,NA,NA,41.3383,-72.8701,"NO",339,"Miscellaneous Manufacturing",NA,NA,NA,NA,NA,NA,339112,339113,NA,0,0,0,1308206506720,"DICHLOROMETHANE","000075092",5306,"YES","TRI","NO",0,"YES","R","Pounds",1040,9360,0,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,6750,0,0,0,0,6750,10400,0,0,10400,0,0,0,20,0,0,0,6750,17170,0,NA,1.08,"MEDTRONIC INC","006261481",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10400
"479",479,0,479,2008,"06335DWCHMROUTE",110000315864,"DOW NORTH AMERICA ALLYN'S POINT PLANT","1761 RTE 12","GALES FERRY","NEW LONDON","CT",6335,NA,NA,41.441954,-72.078853,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325211,326140,NA,0,0,0,1308206745790,"CUMENE","000098828",18309,"YES","TRI","NO",0,"NO","R","Pounds",2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6087,0,6087,0,0,0,0,0,0,0,4.5,0,0,4.5,0,0,400,6087,0,0,1,0,6492.5,0,NA,0.6,"THE DOW CHEMICAL CO","001381581",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.5
"480",480,0,480,2008,"06412CRYDY67WIN",110000316104,"PURIFICATION TECHNOLOGIES LLC","67 WINTHROP RD","CHESTER","MIDDLESEX","CT",6412,NA,NA,41.38555,-72.50882,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325199,0,NA,0,0,0,1308206619650,"ACETONITRILE","000075058",5272,"YES","TRI","NO",0,"NO","R","Pounds",1500,3200,0,0,0,0,0,0,0,0,0,0,0,0,4700,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5825,0,0,4700,0,1125,0,0,12000,0,0,0,17825,0,NA,0.88,"VWR INTERNATIONAL LLC","150982189",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5825
"481",481,1,481,2008,"06010CLNHR51BRO",110002083478,"CLEAN HARBORS OF CONNECTICUT INC","51 BRODERICK RD","BRISTOL","HARTFORD","CT",6010,NA,NA,41.652505,-72.908155,"NO",562,"Hazardous Waste",NA,NA,NA,NA,NA,NA,562211,0,NA,0,0,0,1308206863160,"LEAD COMPOUNDS","N420",650002,"YES","PBT","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217231.75,0,0,0,0,15,217246.75,0,0.66,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,217246.75,0,0,0,217231.75,15,0,0,0,0.66,0,0,217247.41,0,NA,0,"CLEAN HARBORS INC","157793639",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,217246.75
"482",482,0,482,2008,"06111HPHDN100MI",110000315720,"SAPUTO DAIRY FOODS USA LLC","100 MILK LN","NEWINGTON","HARTFORD","CT",6111,NA,NA,41.70258,-72.74996,"NO",311,"Food",NA,NA,NA,NA,NA,NA,311511,0,NA,0,0,0,1308206964330,"NITRATE COMPOUNDS","N511",649616,"NO","TRI","NO",0,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27950,27950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27950,0,0,0,0,0,0,0,0,0,0,0,27950,27950,0,NA,0.98,"SAPUTO CHEESE USA INC","796426286",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"483",483,0,483,2008,"06335DWCHMROUTE",110000315864,"DOW NORTH AMERICA ALLYN'S POINT PLANT","1761 RTE 12","GALES FERRY","NEW LONDON","CT",6335,NA,NA,41.441954,-72.078853,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325211,326140,NA,0,0,0,1308206745770,"ACRYLIC ACID","000079107",7617,"YES","TRI","NO",0,"NO","R","Pounds",5,15,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,20,0,NA,0.9,"THE DOW CHEMICAL CO","001381581",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20
"484",484,1,484,2008,"06702SPCLT574EA",110000317096,"EYELET DESIGN INC","574 E MAIN ST","WATERBURY","NEW HAVEN","CT",6702,NA,NA,41.55396,-73.02981,"NO",331,"Primary Metals",NA,NA,NA,NA,NA,NA,331316,0,NA,0,0,0,1308206955000,"TRICHLOROETHYLENE","000079016",7526,"YES","TRI","NO",0,"YES","R","Pounds",5040,5670,0,0,0,0,0,0,0,0,0,0,0,0,10710,0,1890,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,10710,0,0,10710,0,0,0,0,48669,0,0,1890,61269,0,NA,7.7,NA,NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10710
"485",485,1,485,2008,"06473NTDST195MC",110000316417,"COVIDIEN LP","195 MCDERMOTT RD","NORTH HAVEN","NEW HAVEN","CT",6473,NA,NA,41.3383,-72.8701,"NO",339,"Miscellaneous Manufacturing",NA,NA,NA,NA,NA,NA,339112,339113,NA,0,0,0,1308206506750,"ETHYLENE OXIDE","000075218",5405,"YES","TRI","NO",0,"YES","R","Pounds",10,430,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,440,0,0,0,0,220,0,37700,0,38360,0,NA,0.99,"MEDTRONIC INC","006261481",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,440
"486",486,0,486,2008,"06340PFZRNEASTE",110000315891,"PFIZER INC GROTON SITE","445 EASTERN POINT RD MS4157","GROTON","NEW LONDON","CT",6340,NA,NA,41.331456,-72.077833,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325412,0,NA,0,0,0,1308206907810,"METHYL ISOBUTYL KETONE","000108101",24851,"YES","TRI","NO",0,"NO","R","Pounds",5,750,0,0,0,0,0,0,0,0,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,0,0,0,500,29500,755,0,0,600,0,0,0,0,0,0,0,29000,29600,0,NA,0,"PFIZER INC","001326495",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,755
"487",487,0,487,2008,"06340PFZRNEASTE",110000315891,"PFIZER INC GROTON SITE","445 EASTERN POINT RD MS4157","GROTON","NEW LONDON","CT",6340,NA,NA,41.331456,-72.077833,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325412,0,NA,0,0,0,1308206907800,"BENZO(G,H,I)PERYLENE","000191242",40576,"YES","PBT","NO",0,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,NA,0.32,"PFIZER INC","001326495",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1
"488",488,1,488,2008,"06770DNHMC15EAS",110000317327,"UNIMETAL SURFACE FINISHING LLC","15 E WATERBURY RD","NAUGATUCK","NEW HAVEN","CT",6770,NA,NA,41.50552,-73.02424,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,0,NA,0,0,0,1308206519440,"CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)","N090",649475,"YES","TRI","YES",1,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,10242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10258,0,0,0,0,10258,0,0,0,0,0,0,10258,0,NA,0.9,NA,"",NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10258
"489",489,1,489,2008,"06051WNSLW23STC",110000315310,"WINSLOW AUTOMATICS INC.","23 ST CLAIR AVE","NEW BRITAIN","HARTFORD","CT",6051,NA,NA,41.68534,-72.75984,"NO",336,"Transportation Equipment",NA,NA,NA,NA,NA,NA,336412,0,NA,0,0,0,1308206852680,"CHROMIUM","007440473",150060,"YES","TRI","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12368,0,0,0,12368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12368,0,0,12368,0,NA,0.76,NA,NA,NA,9,1,21500,1,90010215001,"Block Group 1","G5030","S",187758,0,41.0539497,-73.5481508,102,103,"1500000US090010215001","Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,"yes",1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,90010215001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"490",490,0,490,2008,"06111CMPNN68HOL",110000763184,"COMPONENT TECHNOLOGIES INC","68 HOLMES RD","NEWINGTON","HARTFORD","CT",6111,NA,NA,41.70994,-72.74357,"NO",332,"Fabricated Metals",NA,NA,NA,NA,NA,NA,332813,0,NA,0,0,0,1308206993800,"NICKEL","007440020",149674,"YES","TRI","YES",1,"YES","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,138,0,0,0,138,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,164,0,0,7897,138,0,0,8199,0,NA,0.97,NA,"",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,164
"491",491,0,491,2008,"06335DWCHMROUTE",110000315864,"DOW NORTH AMERICA ALLYN'S POINT PLANT","1761 RTE 12","GALES FERRY","NEW LONDON","CT",6335,NA,NA,41.441954,-72.078853,"NO",325,"Chemicals",NA,NA,NA,NA,NA,NA,325211,326140,NA,0,0,0,1308206745740,"1,3-BUTADIENE","000106990",24042,"YES","TRI","NO",0,"YES","R","Pounds",25,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60401,0,60401,0,0,0,0,0,0,0,26,0,0,26,0,0,0,60401,0,0,20,0,60447,0,NA,0.9,"THE DOW CHEMICAL CO","001381581",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26
"492",492,0,492,2008,"06111HPHDN100MI",110000315720,"SAPUTO DAIRY FOODS USA LLC","100 MILK LN","NEWINGTON","HARTFORD","CT",6111,NA,NA,41.70258,-72.74996,"NO",311,"Food",NA,NA,NA,NA,NA,NA,311511,0,NA,0,0,0,1308206964320,"NITRIC ACID","007697372",152686,"NO","TRI","NO",0,"NO","R","Pounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20720,0,20720,0,NA,0.97,"SAPUTO CHEESE USA INC","796426286",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
